filename,width,height,class,xmin,ymin,xmax,ymax
2022-01-31-00-00-00-s_png_jpg.rf.378e5a31ac6b827b732444ce26cf70ce.jpg,640,640,orion,351,299,408,457
2022-01-31-00-00-00-s_png_jpg.rf.378e5a31ac6b827b732444ce26cf70ce.jpg,640,640,pleiades,476,187,493,212
2022-01-31-00-00-00-s_png_jpg.rf.378e5a31ac6b827b732444ce26cf70ce.jpg,640,640,taurus,423,171,504,297
2022-01-31-00-00-00-s_png_jpg.rf.378e5a31ac6b827b732444ce26cf70ce.jpg,640,640,canis_major,275,458,343,574
2022-01-31-00-00-00-s_png_jpg.rf.378e5a31ac6b827b732444ce26cf70ce.jpg,640,640,leo,26,112,185,271
2022-01-31-00-00-00-s_png_jpg.rf.378e5a31ac6b827b732444ce26cf70ce.jpg,640,640,canis_minor,261,284,294,348
2022-01-31-00-00-00-s_png_jpg.rf.378e5a31ac6b827b732444ce26cf70ce.jpg,640,640,gemini,259,123,360,281
2022-03-24-00-00-00-s_png_jpg.rf.379717e7cb15bc6f892b49ce4766a480.jpg,640,640,gemini,435,414,543,577
2022-03-24-00-00-00-s_png_jpg.rf.379717e7cb15bc6f892b49ce4766a480.jpg,640,640,bootes,75,427,164,640
2022-03-24-00-00-00-s_png_jpg.rf.379717e7cb15bc6f892b49ce4766a480.jpg,640,640,canis_minor,432,328,467,393
2022-03-24-00-00-00-s_png_jpg.rf.379717e7cb15bc6f892b49ce4766a480.jpg,640,640,leo,230,351,352,480
2022-06-24-00-00-00-n_png_jpg.rf.37c489beb12c6a294391dd433462eb45.jpg,640,640,ursa_major,55,209,127,514
2022-06-24-00-00-00-n_png_jpg.rf.37c489beb12c6a294391dd433462eb45.jpg,640,640,cygnus,373,492,476,640
2022-06-24-00-00-00-n_png_jpg.rf.37c489beb12c6a294391dd433462eb45.jpg,640,640,cassiopeia,341,117,414,237
2022-01-22-00-00-00-s_png_jpg.rf.37e31378be869cbc5da12083a9452f1c.jpg,640,640,gemini,230,140,308,273
2022-01-22-00-00-00-s_png_jpg.rf.37e31378be869cbc5da12083a9452f1c.jpg,640,640,taurus,369,174,437,289
2022-01-22-00-00-00-s_png_jpg.rf.37e31378be869cbc5da12083a9452f1c.jpg,640,640,pleiades,414,186,431,211
2022-01-22-00-00-00-s_png_jpg.rf.37e31378be869cbc5da12083a9452f1c.jpg,640,640,orion,291,289,345,432
2022-01-22-00-00-00-s_png_jpg.rf.37e31378be869cbc5da12083a9452f1c.jpg,640,640,canis_major,229,427,281,526
2022-01-22-00-00-00-s_png_jpg.rf.37e31378be869cbc5da12083a9452f1c.jpg,640,640,moon,31,203,70,268
2022-01-22-00-00-00-s_png_jpg.rf.37e31378be869cbc5da12083a9452f1c.jpg,640,640,leo,0,124,153,261
2022-01-22-00-00-00-s_png_jpg.rf.37e31378be869cbc5da12083a9452f1c.jpg,640,640,canis_minor,222,285,244,323
orion_constellation_003_png_jpg.rf.380839e90b90863299f18d082070b164.jpg,640,640,orion,249,0,431,274
2022-01-23-00-00-00-s_png_jpg.rf.380ec67133e324f37b649b8a8a0bac34.jpg,640,640,pleiades,427,239,443,276
2022-01-23-00-00-00-s_png_jpg.rf.380ec67133e324f37b649b8a8a0bac34.jpg,640,640,taurus,383,217,459,360
2022-01-23-00-00-00-s_png_jpg.rf.380ec67133e324f37b649b8a8a0bac34.jpg,640,640,orion,315,340,374,467
2022-01-23-00-00-00-s_png_jpg.rf.380ec67133e324f37b649b8a8a0bac34.jpg,640,640,moon,6,237,42,295
2022-01-23-00-00-00-s_png_jpg.rf.380ec67133e324f37b649b8a8a0bac34.jpg,640,640,gemini,246,182,314,299
2022-01-23-00-00-00-s_png_jpg.rf.380ec67133e324f37b649b8a8a0bac34.jpg,640,640,canis_major,251,458,309,564
2022-01-23-00-00-00-s_png_jpg.rf.380ec67133e324f37b649b8a8a0bac34.jpg,640,640,leo,25,132,170,278
2022-01-23-00-00-00-s_png_jpg.rf.380ec67133e324f37b649b8a8a0bac34.jpg,640,640,canis_minor,240,303,263,359
2022-08-25-00-00-00-n_png_jpg.rf.38318c6c105fd540a8a67efd8586c051.jpg,640,640,cassiopeia,333,310,389,473
2022-08-25-00-00-00-n_png_jpg.rf.38318c6c105fd540a8a67efd8586c051.jpg,640,640,pleiades,582,213,599,253
2022-04-22-00-00-00-s_png_jpg.rf.38399e1ce311c6b3001da245c9d630f8.jpg,640,640,scorpius,63,434,148,576
2022-04-22-00-00-00-s_png_jpg.rf.38399e1ce311c6b3001da245c9d630f8.jpg,640,640,bootes,168,56,242,252
2022-04-22-00-00-00-s_png_jpg.rf.38399e1ce311c6b3001da245c9d630f8.jpg,640,640,leo,321,167,455,323
orion_constellation_016_png_jpg.rf.38b79516e6b7ab6f0bfb1a78443588dd.jpg,640,640,orion,254,281,460,572
2022-08-09-00-00-00-n_png_jpg.rf.38b9ec643c592b58b86f19bfa414d731.jpg,640,640,cassiopeia,351,256,396,409
2022-11-05-00-00-00-s_png_jpg.rf.38f2d021fcf46446d8fe26a1e85aea17.jpg,640,640,pleiades,182,181,200,207
2022-11-05-00-00-00-s_png_jpg.rf.38f2d021fcf46446d8fe26a1e85aea17.jpg,640,640,taurus,134,167,200,278
2022-11-05-00-00-00-s_png_jpg.rf.38f2d021fcf46446d8fe26a1e85aea17.jpg,640,640,moon,348,381,382,435
2022-11-05-00-00-00-s_png_jpg.rf.38f2d021fcf46446d8fe26a1e85aea17.jpg,640,640,orion,59,237,115,399
moon_043_png_jpg.rf.38f6e25627c67cdfa447aac2399fdaa4.jpg,640,640,moon,310,186,364,265
2022-03-25-00-00-00-n_png_jpg.rf.3a0b50fe6170b29403f126ad9247e4e3.jpg,640,640,ursa_major,222,85,361,215
cassiopeia_constellation_029_png_jpg.rf.3999339697a7fd7c0fd090cc5c89cf5a.jpg,640,640,cassiopeia,109,187,195,459
2022-05-22-00-00-00-s_png_jpg.rf.3a1e69ddddbf9fb7adeb2d1ae91fefde.jpg,640,640,scorpius,101,427,205,612
